Comment
Prime Adult Swim Nostalgia hit different
The song after the homies leave my car
I am also  ballin &amp; I am indeed faded
"I like the wholesome friendly things in the music vid of the crew just chilling and goofing around, very wholesome."
"Back when things weren&#39;t perfect, but they still made sense."
pqp muito apelativo pra nostalgia.... parei de assistir com 30 segundos.... parece muito mais uma das tais &quot;industry plants&quot;
Lain
Bibawen edits just feel different
Wow.
lain
top!!
Reissue the CD or put out a vinyl already
Nice song
wtf?? was this filmed in New Malden?
saving for later
I miss him but I’m not going to tell him that.
beautiful song
i am balling i am faded
i am ballin<br>i am faded
"<a href=""https://www.youtube.com/watch?v=Uoox9fpmDP0&amp;t=1m38s"">1:38</a> this note sounds SO MUCH like the part from Burn(from Hamilton) but Instead of Breath, it’s Youu- it’s like the EXACT same !"
"God this song reminds me of my missing internet buddy(probably dead).. shit he was such a nice dude, man…"
"I literally waited for the “Present day hah… PRESENT TIME, HAHAHAHAH!” part"
"<a href=""https://www.youtube.com/watch?v=Uoox9fpmDP0&amp;t=1m51s"">1:51</a>"
2 years today‼️
suggest me more 90s songs like this please ;-;
This is a beautiful song ngl I cry for this song❤❤❤
"That part at <a href=""https://www.youtube.com/watch?v=Uoox9fpmDP0&amp;t=2m08s"">2:08</a> just keeps bothering me like it wasn&#39;t supposed to be there how is she so happy in this mellow song 😭😭😭😭 i always felt like crying everytime listening to this song 🥹🥹"
It reminds me of a coool flletwood mac
mitski vibes
La canción más aesthetic. xd
cant wait for time to pass making this song sound even more nostalgic than it already does
Por alguna razon este tema cuando lo escuche por primera vez (en el animé de Lain) me dio una extraña sensación<br>No sé ingles pero igualmente me encanto
"<a href=""https://www.youtube.com/watch?v=Uoox9fpmDP0&amp;t=0m37s"">0:37</a>"
"This music is awesome, so soothing and calm"
This video has more likes than the own channel... c&#39;mon guys...
Shoegaze vibes
What a work of art I never tire of listening to it 😢🎉😮😊
